periodo,volumen,precio_unitario,mo_directa,mo_indirecta,materia_prima,gastos_directos,gastos_indirectos
2025-12,2165,12.61,8052.55,3221.02,9553.95,2415.77,2928.20
2026-01,3044,12.65,8857.81,3543.12,13477.38,2657.34,3221.02
2026-02,4046,12.69,8857.81,3543.12,17969.84,2657.34,3221.02
2026-03,2221,12.74,8857.81,3543.12,9901.75,2657.34,3221.02
2026-04,2870,12.78,8857.81,3543.12,12835.60,2657.34,3221.02
2026-05,3228,12.82,8857.81,3543.12,14485.89,2657.34,3221.02
2026-06,3442,12.86,8857.81,3543.12,15494.40,2657.34,3221.02
2026-07,3330,12.90,8857.81,3543.12,15035.99,2657.34,3221.02
2026-08,3864,12.95,8857.81,3543.12,17511.43,2657.34,3221.02
2026-09,2743,12.99,8857.81,3543.12,12468.87,2657.34,3221.02
2026-10,2191,13.03,8857.81,3543.12,9993.43,2657.34,3221.02
2026-11,4008,13.07,8857.81,3543.12,18336.57,2657.34,3221.02
2026-12,2176,13.12,8857.81,3543.12,9993.43,2657.34,3221.02
2027-01,3061,13.16,9743.59,3897.43,14097.34,2923.07,3543.12
2027-02,4068,13.20,9743.59,3897.43,18796.45,2923.07,3543.12
2027-03,2233,13.25,9743.59,3897.43,10357.23,2923.07,3543.12
2027-04,2886,13.29,9743.59,3897.43,13426.04,2923.07,3543.12
2027-05,3248,13.33,9743.59,3897.43,15152.24,2923.07,3543.12
2027-06,3461,13.38,9743.59,3897.43,16207.15,2923.07,3543.12
2027-07,3348,13.42,9743.59,3897.43,15727.64,2923.07,3543.12
2027-08,3888,13.46,9743.59,3897.43,18316.95,2923.07,3543.12
2027-09,2758,13.51,9743.59,3897.43,13042.44,2923.07,3543.12
2027-10,2204,13.55,9743.59,3897.43,10453.13,2923.07,3543.12
2027-11,4029,13.60,9743.59,3897.43,19180.05,2923.07,3543.12
2027-12,2190,13.64,9743.59,3897.43,10453.13,2923.07,3543.12
2028-01,3077,13.69,10717.94,4287.18,14745.82,3215.38,3897.43
2028-02,4091,13.73,10717.94,4287.18,19661.09,3215.38,3897.43
2028-03,2246,13.78,10717.94,4287.18,10833.66,3215.38,3897.43
2028-04,2903,13.82,10717.94,4287.18,14043.64,3215.38,3897.43
2028-05,3265,13.87,10717.94,4287.18,15849.25,3215.38,3897.43
2028-06,3482,13.91,10717.94,4287.18,16952.67,3215.38,3897.43
2028-07,3367,13.96,10717.94,4287.18,16451.12,3215.38,3897.43
2028-08,3910,14.00,10717.94,4287.18,19159.53,3215.38,3897.43
2028-09,2774,14.05,10717.94,4287.18,13642.39,3215.38,3897.43
2028-10,2217,14.09,10717.94,4287.18,10933.97,3215.38,3897.43
2028-11,4054,14.14,10717.94,4287.18,20062.34,3215.38,3897.43
2028-12,2202,14.19,10717.94,4287.18,10933.97,3215.38,3897.43
2029-01,3097,14.23,11789.74,4715.90,15424.12,3536.92,4287.18
2029-02,4115,14.28,11789.74,4715.90,20565.50,3536.92,4287.18
2029-03,2259,14.33,11789.74,4715.90,11332.01,3536.92,4287.18
2029-04,2921,14.37,11789.74,4715.90,14689.64,3536.92,4287.18
2029-05,3285,14.42,11789.74,4715.90,16578.31,3536.92,4287.18
2029-06,3501,14.47,11789.74,4715.90,17732.50,3536.92,4287.18
2029-07,3388,14.51,11789.74,4715.90,17207.87,3536.92,4287.18
2029-08,3933,14.56,11789.74,4715.90,20040.87,3536.92,4287.18
2029-09,2791,14.61,11789.74,4715.90,14269.94,3536.92,4287.18
2029-10,2229,14.66,11789.74,4715.90,11436.94,3536.92,4287.18
2029-11,4076,14.71,11789.74,4715.90,20985.20,3536.92,4287.18
2029-12,2215,14.75,11789.74,4715.90,11436.94,3536.92,4287.18
